loss,testAccuracy,trainAccuracy
0.6431159377098083,0.6366666555404663,0.6370833516120911
0.556422233581543,0.7733333110809326,0.7283333539962769
0.44372060894966125,0.8324999809265137,0.8204166889190674
0.3380855619907379,0.9016666412353516,0.8737499713897705
0.24674735963344574,0.9200000166893005,0.9200000166893005
0.1820576936006546,0.9316666722297668,0.9470833539962769
0.12360543757677078,0.9549999833106995,0.9704166650772095
0.08702511340379715,0.9850000143051147,0.9839583039283752
0.06701891869306564,0.9866666793823242,0.9906250238418579
0.036878421902656555,0.9958333373069763,0.996666669845581
0.022150954231619835,0.9975000023841858,0.9991666674613953
0.015364114195108414,1.0,0.99979168176651
0.010885538533329964,1.0,0.99979168176651
0.0045318990014493465,1.0,1.0
0.002491425024345517,1.0,1.0
0.0018032594816759229,1.0,1.0
0.0013135549379512668,1.0,1.0
0.0010667408350855112,1.0,1.0
0.000901466584764421,1.0,1.0
0.0008562502334825695,1.0,1.0
